"COL0","COL1"
"4620511.01",1170.00
"4620511.02",2250.00
"4620512.02",1765.00
"4620512.03",1300.00
"4620512.04",2415.00
"4620513.01",1805.00
"4620513.02",1690.00
"4620514.01",2765.00
"4620514.02",2175.00
"4620515.01",1945.00
"4620515.02",1510.00
"4620515.03",1170.00
"4620515.04",1295.00
"4620520.02",2445.00
"4620520.03",1285.00
"4620520.04",1735.00
"4620521.01",1910.00
"4620521.04",1745.00
"4620521.05",1470.00
"4620521.06",1850.00
"4620521.07",1260.00
"4620522.01",1315.00
"4620522.02",1380.00
"4620523.00",810.00
"4620530.00",2120.00
"4620540.00",1685.00
"4620550.02",1265.00
"4620550.03",2180.00
"4620550.04",1805.00
"4620570.00",1735.00
"4620580.01",1870.00
"4620580.02",1585.00
"4620580.03",1565.00
"4620581.01",2015.00
"4620581.02",1530.00
"4620582.01",3020.00
"4620582.02",2655.00
"4620583.00",1315.00
"4620584.00",3220.00
"4620585.01",765.00
"4620585.02",1720.00
"4620590.01",2200.00
"4620590.02",1380.00
"4620591.01",1055.00
"4620591.02",1640.00
"4620592.00",3065.00
"4620593.01",2770.00
"4620593.02",1975.00
"4620594.01",1330.00
"4620594.02",3370.00
"4620600.01",1565.00
"4620600.02",1705.00
"4620600.03",2425.00
"4620601.01",1305.00
"4620601.02",1985.00
"4620602.01",1655.00
"4620602.02",1160.00
"4620603.01",1440.00
"4620603.02",1675.00
"4620603.03",1275.00
"4620604.01",1140.00
"4620604.02",1750.00
"4620604.03",1205.00
"4620604.04",1340.00
"4620604.05",1865.00
"4620605.01",1585.00
"4620605.02",725.00
"4620605.03",2355.00
"4620605.04",1915.00
"4620605.05",850.00
"4620610.01",1960.00
"4620610.02",1765.00
"4620610.03",2195.00
"4620610.04",1610.00
"4620610.05",1920.00
"4620610.06",1070.00
"4620610.07",1620.00
"4620611.01",1130.00
"4620611.02",2180.00
"4620612.00",1855.00
"4620613.00",2885.00
"4620614.00",1575.00
"4620615.00",2195.00
"4620616.00",2585.00
"4620617.01",2150.00
"4620617.02",1635.00
"4620618.00",1630.00
"4620619.00",3065.00
"4620625.01",2130.00
"4620625.02",2550.00
"4620626.00",2520.00
"4620627.00",2735.00
"4620628.01",1945.00
"4620628.02",1580.00
"4620629.00",1330.00
"4620630.01",1305.00
"4620630.02",1915.00
"4620631.00",2535.00
"4620632.01",1995.00
"4620632.02",1890.00
"4620632.03",1835.00
"4620632.04",3010.00
"4620633.00",2045.00
"4620634.00",1255.00
"4620635.00",2130.00
"4620636.00",3045.00
"4620637.01",1890.00
"4620637.02",2120.00
"4620638.01",2540.00
"4620638.02",845.00
"4620638.03",1820.00
"4620638.04",3000.00
"4620639.00",1700.00
